[LOG]
0=18/03/2010 11:35:15 AM:  IsProcessRunning: TrinityRealm
1=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
2=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
3=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
4=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
5=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
6=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
7=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
8=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
9=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityRealm
10=18/03/2010 11:35:15 AM:  IsProcessRunning: TrinityCore
11=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
12=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
13=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
14=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
15=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
16=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
17=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
18=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
19=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
20=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
21=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
22=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
23=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
24=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
25=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
26=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
27=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
28=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
29=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
30=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
31=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
32=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
33=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
34=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
35=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
36=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
37=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
38=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
39=18/03/2010 11:35:15 AM:  IsProcessRunning - Enumerating... TrinityCore
40=18/03/2010 11:35:15 AM:  GetServerVersions
41=18/03/2010 11:35:15 AM:  START: GetVersions
42=18/03/2010 11:35:16 AM:  END: GetVersions
43=18/03/2010 11:35:16 AM:  GetCorePortStatus for realm: 0
44=18/03/2010 11:35:16 AM:  GetRealmPortStatus
45=18/03/2010 11:35:16 AM:  Checking port: 8085
47=18/03/2010 11:35:16 AM:  START: GetNumAccounts
48=18/03/2010 11:35:16 AM:  ReportPort: 3724 - True
49=18/03/2010 11:35:16 AM:  ReportPort: 8085 - True
50=18/03/2010 11:35:16 AM:  START: GetNumCharacters
51=18/03/2010 11:35:16 AM:  START: GetNumOnline
52=18/03/2010 11:35:16 AM:  LoadScheduleCommands
53=18/03/2010 11:35:16 AM:  LoadSchedules
54=18/03/2010 11:35:16 AM:  LoadSelectedSchedule: 0
55=18/03/2010 11:35:16 AM:  GetPID: C:\TrinityCore3\TrinityRealm.exe
56=18/03/2010 11:35:16 AM:  GetPID: C:\TrinityCore3\Realm1\TrinityCore.exe
57=18/03/2010 11:35:16 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
58=18/03/2010 11:35:16 AM:  GetPID - Enumerating... C:\TrinityCore3\TrinityRealm.exe
59=18/03/2010 11:35:16 AM:  GetPID - Enumerating... C:\TrinityCore3\Realm1\TrinityCore.exe
60=18/03/2010 11:35:17 AM:  START: GetNumCharacters
61=18/03/2010 11:35:17 AM:  END: GetNumCharacters
62=18/03/2010 11:35:17 AM:  START: EventFinishedCountingCharacters: 0:33
63=18/03/2010 11:35:17 AM:  CheckSchedules
64=18/03/2010 11:35:17 AM:  START: GetCharactersList
65=18/03/2010 11:35:17 AM:  Processor: 0
66=18/03/2010 11:35:17 AM:  GetCharactersList: Open SQL Connection
67=18/03/2010 11:35:17 AM:  GetCharactersList: SQL DA CB
68=18/03/2010 11:35:17 AM:  GetCharactersList: Fill
69=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 0
70=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 1
71=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 2
72=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 3
73=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 4
74=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 5
75=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 6
76=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 7
77=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 8
78=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 9
79=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 10
80=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 11
81=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 12
82=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 13
83=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 14
84=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 15
85=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 16
86=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 17
87=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 18
88=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 19
89=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 20
90=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 21
91=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 22
92=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 23
93=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 24
94=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 25
95=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 26
96=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 27
97=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 28
98=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 29
99=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 30
100=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 31
101=18/03/2010 11:35:17 AM:  GetCharactersList: Set array for: 32
102=18/03/2010 11:35:17 AM:  GetCharactersList: Clean
103=18/03/2010 11:35:17 AM:  END: GetCharactersList
104=18/03/2010 11:35:17 AM:  START: EventFinishedGetCharactersList
105=18/03/2010 11:35:17 AM:  START: GenerateAllCharactersList
106=18/03/2010 11:35:17 AM:  END: GenerateAllCharactersList
107=18/03/2010 11:35:17 AM:  END: EventFinishedGetCharactersList
108=18/03/2010 11:35:17 AM:  END: EventFinishedCountingCharacters: 33:33
109=18/03/2010 11:35:17 AM:  SetWindowState: C:\TrinityCore3\Realm1\TrinityCore.exe
110=18/03/2010 11:35:17 AM:  GetHandle: C:\TrinityCore3\Realm1\TrinityCore.exe
111=18/03/2010 11:35:17 AM:  SetWindowState: C:\TrinityCore3\TrinityRealm.exe
112=18/03/2010 11:35:17 AM:  GetHandle: C:\TrinityCore3\TrinityRealm.exe
113=18/03/2010 11:35:18 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
114=18/03/2010 11:35:18 AM:  CheckSchedules
115=18/03/2010 11:35:18 AM:  Processor: 14
116=18/03/2010 11:35:19 AM:  CheckSchedules
117=18/03/2010 11:35:19 AM:  Processor: 8
118=18/03/2010 11:35:19 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
119=18/03/2010 11:35:20 AM:  CheckSchedules
120=18/03/2010 11:35:20 AM:  Processor: 6
121=18/03/2010 11:35:21 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
122=18/03/2010 11:35:21 AM:  CheckSchedules
123=18/03/2010 11:35:21 AM:  END: GetNumOnline
